QUOTE;AUTHOR;GENRE
Common sense is the collection of prejudices acquired by age eighteen.;Albert Einstein;age
Confusion of goals and perfection of means seems, in my opinion, to characterize our age.;Albert Einstein;age
Perfection of means and confusion of ends seem to characterize our age.;Albert Einstein;age
The age of a woman doesn't mean a thing. The best tunes are played on the oldest fiddles.;Ralph Waldo Emerson;age
Age is whatever you think it is. You are as old as you think you are.;Muhammad Ali;age
A man loves the meat in his youth that he cannot endure in his age.;William Shakespeare;age
In every country and every age, the priest had been hostile to Liberty.;Thomas Jefferson;age
The heresy of one age becomes the orthodoxy of the next.;Helen Keller;age
The golden age is before us, not behind us.;William Shakespeare;age
No woman should ever be quite accurate about her age. It looks so calculating.;Oscar Wilde;age
At twenty years of age the will reigns at thirty, the wit and at forty, the judgment.;Benjamin Franklin;age
Age does not protect you from love. But love, to some extent, protects you from age.;Anais Nin;age
Old age is just a record of one's whole life.;Muhammad Ali;age
We prefer world law in the age of self-determination to world war in the age of mass extermination.;John F. Kennedy;age
Each age, it is found, must write its own books or rather, each generation for the next succeeding.;Ralph Waldo Emerson;age
Education is the best provision for old age.;Aristotle;age
The secret of staying young is to live honestly, eat slowly, and lie about your age.;Lucille Ball;age
I've got volumes on how not to behave. I've got more information now than a guy should have at my age.;Charlie Sheen;age
Age is something that doesn't matter, unless you are a cheese.;Luis Bunuel;age
Hesitation increases in relation to risk in equal proportion to age.;Ernest Hemingway;age
I must confess, I was born at a very early age.;Groucho Marx;age
We aren't in an information age, we are in an entertainment age.;Tony Robbins;age
To me - old age is always ten years older than I am.;John Burroughs;age
Age is not important unless you're a cheese.;Helen Hayes;age
A woman has the age she deserves.;Coco Chanel;age
The older I grow the more I distrust the familiar doctrine that age brings wisdom.;H. L. Mencken;age
He who has not the spirit of this age, has all the misery of it.;Voltaire;age
I think being able to age gracefully is a very important talent. It is too late for me.;Clint Eastwood;age
Error is acceptable as long as we are young but one must not drag it along into old age.;Johann Wolfgang von Goethe;age
Age wrinkles the body. Quitting wrinkles the soul.;Douglas MacArthur;age
I don't need you to remind me of my age. I have a bladder to do that for me.;Stephen Fry;age
Age merely shows what children we remain.;Johann Wolfgang von Goethe;age
Each moment of a happy lover's hour is worth an age of dull and common life.;Aphra Behn;age
The credit of advancing science has always been due to individuals and never to the age.;Johann Wolfgang von Goethe;age
I was born at the age of twelve on an MGM lot.;Judy Garland;age
A woman telling her true age is like a buyer confiding his final price to an Armenian rug dealer.;Mignon McLaughlin;age
How young can you die of old age?;Steven Wright;age
Legend: A lie that has attained the dignity of age.;H. L. Mencken;age
Age does not protect you from love. But love, to some extent, protects you from age.;Jeanne Moreau;age
If youth knew if age could.;Sigmund Freud;age
Men are like wine - some turn to vinegar, but the best improve with age.;Pope John XXIII;age
We are all geniuses up to the age of ten.;Aldous Huxley;age
Old age is not a matter for sorrow. It is matter for thanks if we have left our work done behind us.;Thomas Carlyle;age
Sex at age 90 is like trying to shoot pool with a rope.;George Burns;age
Publishing is in a kind of Jurassic age.;Paulo Coelho;age
Age is just a number. It's totally irrelevant unless, of course, you happen to be a bottle of wine.;Joan Collins;age
Whatever you may look like, marry a man your own age - as your beauty fades, so will his eyesight.;Phyllis Diller;age
Youth has no age.;Pablo Picasso;age
Youth is a blunder Manhood a struggle, Old Age a regret.;Benjamin Disraeli;age
Nobody expects to trust his body overmuch after the age of fifty.;Alexander Hamilton;age
In youth we learn in age we understand.;Marie von Ebner-Eschenbach;age
Believe me, that was a happy age, before the days of architects, before the days of builders.;Lucius Annaeus Seneca;age
I have the problems of, I must confess, old age.;Billy Graham;age
Bad news isn't wine. It doesn't improve with age.;Colin Powell;age
People who refuse to rest honorably on their laurels when they reach retirement age seem very admirable to me.;Helen Hayes;age
Not to expose your true feelings to an adult seems to be instinctive from the age of seven or eight onwards.;George Orwell;age
Age is a case of mind over matter. If you don't mind, it don't matter.;Satchel Paige;age
Experience is a revelation in the light of which we renounce our errors of youth for those of age.;Ambrose Bierce;age
My view is that at a younger age your optimism is more and you have more imagination etc. You have less bias.;Abdul Kalam;age
The ruling ideas of each age have ever been the ideas of its ruling class.;Karl Marx;age
The harvest of old age is the recollection and abundance of blessing previously secured.;Marcus Tullius Cicero;age
The arrogance of age must submit to be taught by youth.;Edmund Burke;age
The biggest disease this day and age is that of people feeling unloved.;Princess Diana;age
Old age: the crown of life, our play's last act.;Marcus Tullius Cicero;age
One crowded hour of glorious life is worth an age without a name.;Walter Scott;age
Wives are young men's mistresses, companions for middle age, and old men's nurses.;Francis Bacon;age
Wisdom doesn't necessarily come with age. Sometimes age just shows up all by itself.;Tom Wilson;age
A man does not die of love or his liver or even of old age he dies of being a man.;Miguel de Unamuno;age
Rashness belongs to youth prudence to old age.;Marcus Tullius Cicero;age
Old age is a tyrant, who forbids, under pain of death, the pleasures of youth.;Francois de La Rochefoucauld;age
The defects of the mind, like those of the face, grow worse with age.;Francois de La Rochefoucauld;age
The enemy of society is middle class and the enemy of life is middle age.;Orson Welles;age
The mind that is wise mourns less for what age takes away than what it leaves behind.;William Wordsworth;age
The age of chivalry is past. Bores have succeeded to dragons.;Charles Dickens;age
Like many women my age, I am 28 years old.;Mary Schmich;age
Life, an age to the miserable, and a moment to the happy.;Francis Bacon;age
We are always the same age inside.;Gertrude Stein;age
I am, as I've said, merely competent. But in an age of incompetence, that makes me extraordinary.;Billy Joel;age
If you live to be one hundred, you've got it made. Very few people die past that age.;George Burns;age
Old age has its pleasures, which, though different, are not less than the pleasures of youth.;W. Somerset Maugham;age
Old age is when the liver spots show through your gloves.;Phyllis Diller;age
What is an adult? A child blown up by age.;Simone de Beauvoir;age
Intelligent life on a planet comes of age when it first works out the reason for its own existence.;Richard Dawkins;age
I am of a healthy long lived race, and our minds improve with age.;William Butler Yeats;age
The wisdom of age: don't stop walking.;Mason Cooley;age
Age is strictly a case of mind over matter. If you don't mind, it doesn't matter.;Jack Benny;age
'Age' is the acceptance of a term of years. But maturity is the glory of years.;Martha Graham;age
I think we ought to raise the age at which juveniles can have a gun.;George W. Bush;age
A man is a fool if he drinks before he reaches the age of 50, and a fool if he doesn't afterward.;Frank Lloyd Wright;age
Age imprints more wrinkles in the mind than it does on the face.;Michel de Montaigne;age
I was confirmed at my prep school at the age of 13.;Richard Dawkins;age
Love has no age, no limit and no death.;John Galsworthy;age
And I'm afraid, in this day and age, trust, which I count so, you know, I love loyalty. I love trust.;Elton John;age
Age is a matter of feeling, not of years.;Washington Irving;age
An artist must be a reactionary. He has to stand out against the tenor of the age and not go flopping along.;Andre Maurois;age
Nice to be here? At my age it's nice to be anywhere.;George Burns;age
Each age has deemed the new-born year the fittest time for festal cheer.;Walter Scott;age
Our age knows nothing but reaction, and leaps from one extreme to another.;Reinhold Niebuhr;age
No lie ever reaches old age.;Sophocles;age
This is the curse of our age, even the strangest aberrations are no cure for boredom.;Stendhal;age
But an old age serene and bright, and lovely as a Lapland night, shall lead thee to thy grave.;William Wordsworth;age
Litigation takes the place of sex at middle age.;Gore Vidal;age
The face you have at age 25 is the face God gave you, but the face you have after 50 is the face you earned.;Cindy Crawford;age
The hallmark of our age is the tension between aspirations and sluggish institutions.;John W. Gardner;age
Old age is ready to undertake tasks that youth shirked because they would take too long.;W. Somerset Maugham;age
I believe we should encourage children to sing and play instruments from an early age.;Mick Jagger;age
You should not consider a man's age but his acts.;Sophocles;age
At my age flowers scare me.;George Burns;age
I would go out with women my age, but there are no women my age.;George Burns;age
It is not well to make great changes in old age.;Charles Spurgeon;age
Setting a good example for your children takes all the fun out of middle age.;William Feather;age
You are 27 or 28 right? It is very tough to live at that age. When nothing is sure. I have sympathy with you.;Haruki Murakami;age
Young men soon give, and soon forget, affronts old age is slow in both.;Joseph Addison;age
By all but the pathologically romantic, it is now recognized that this is not the age of the small man.;John Kenneth Galbraith;age
To be happy, we must be true to nature and carry our age along with us.;William Hazlitt;age
Youth cannot know how age thinks and feels. But old men are guilty if they forget what it was to be young.;J. K. Rowling;age
It is the malady of our age that the young are so busy teaching us that they have no time left to learn.;Eric Hoffer;age
Marriage is not about age it's about finding the right person.;Sophia Bush;age
Old age is the verdict of life.;Amelia Barr;age
The passions grafted on wounded pride are the most inveterate they are green and vigorous in old age.;George Santayana;age
Every age can be enchanting, provided you live within it.;Brigitte Bardot;age
There must be a day or two in a man's life when he is the precise age for something important.;Franklin P. Adams;age
I don't care about age very much.;Chinua Achebe;age
Old age and the passage of time teach all things.;Sophocles;age
I think age is a very high price to pay for maturity.;Tom Stoppard;age
Middle age occurs when you are too young to take up golf and too old to rush up to the net.;Franklin P. Adams;age
Old age: I fall asleep during the funerals of my friends.;Mason Cooley;age
Staid middle age loves the hurricane passions of opera.;Mason Cooley;age
Middle age went by while I was mourning for my lost youth.;Mason Cooley;age
Not even old age knows how to love death.;Sophocles;age
Temper never mellows with age, and a sharp tongue is the only edged tool that grows keener with constant use.;Washington Irving;age
It is not by the gray of the hair that one knows the age of the heart.;Edward G. Bulwer-Lytton;age
Another belief of mine that everyone else my age is an adult, whereas I am merely in disguise.;Margaret Atwood;age
Age carries all things away, even the mind.;Virgil;age
Age steals away all things, even the mind.;Virgil;age
At the age when Bengali youth almost inevitably writes poetry, I was listening to European classical music.;Satyajit Ray;age
I smoke ten to fifteen cigars a day. At my age I have to hold on to something.;George Burns;age
I'm at the age now where just putting my cigar in its holder is a thrill.;George Burns;age
Invention is the talent of youth, as judgment is of age.;Jonathan Swift;age
I'm very pleased to be here. Let's face it, at my age I'm very pleased to be anywhere.;George Burns;age
My age and health will never allow me to realize the dream of art I've been pursuing all my life.;Paul Cezanne;age
Age does not matter if the matter does not age.;Jean Paul;age
Ours is essentially a tragic age, so we refuse to take it tragically.;David Herbert Lawrence;age
Ours is an excessively conscious age. We know so much, we feel so little.;David Herbert Lawrence;age
One keeps forgetting old age up to the very brink of the grave.;Sidonie Gabrielle Colette;age
In the age of the individual's liquidation, the question of individuality must be raised anew.;Theodor Adorno;age
I ask you to pray for me, for once age has overtaken us, we find consolation only in religion.;Paul Cezanne;age
Women lie about their age men lie about their income.;William Feather;age
A major advantage of age is learning to accept people without passing judgment.;Liz Carpenter;age
The people who live in a golden age usually go around complaining how yellow everything looks.;Randall Jarrell;age
Of course, the ideal scenario for parenting is obviously two parents of a mature age.;Jennifer Aniston;age
I think love can happen at any age... it has no age.;Shahrukh Khan;age
I'm inspired by people who keep on rolling, no matter their age.;Jimmy Buffett;age
By Time and Age full many things are taught.;Aeschylus;age
I was taught from a young age that I had to serve, so that turned into me thinking I had to save the planet.;Alanis Morissette;age
It's sad, actually, because my anxiety keeps me from enjoying things as much as I should at this age.;Amanda Seyfried;age
I felt a tremendous sadness for men who can't deal with a woman of their own age.;Michael Caine;age
This is the first convention of the space age - where a candidate can promise the moon and mean it.;David Brinkley;age
Revenge is the naked idol of the worship of a semi-barbarous age.;Percy Bysshe Shelley;age
Man arrives as a novice at each age of his life.;Nicolas Chamfort;age
Live your life and forget your age.;Jean Paul;age
I can't look in the mirror and look at fake things. I just can't. I'd rather age.;Heidi Klum;age
The surest sign of age is loneliness.;Annie Dillard;age
Learning to dislike children at an early age saves a lot of expense and aggravation later in life.;Robert Byrne;age
Confidence is something you're born with. I know I had loads of it even at the age of 15.;Hedy Lamarr;age
We accumulate our opinions at an age when our understanding is at its weakest.;Georg C. Lichtenberg;age
Age, like distance lends a double charm.;Oliver Herford;age
Utility is the great idol of the age, to which all powers must do service and all talents swear allegiance.;Friedrich Schiller;age
Now is the age of anxiety.;W. H. Auden;age
At the age of four with paper hats and wooden swords we're all Generals. Only some of us never grow out of it.;Peter Ustinov;age
If the nineteenth century was the age of the editorial chair, ours is the century of the psychiatrist's couch.;Marshall McLuhan;age
American youth attributes much more importance to arriving at driver's license age than at voting age.;Marshall McLuhan;age
Old age is the most unexpected of all things that happen to a man.;Leon Trotsky;age
There is nothing in socialism that a little age or a little money will not cure.;Will Durant;age
I'm not as far along as Jack Nicklaus was at this age, but I'm trying.;Tiger Woods;age
Peace is the one condition of survival in this nuclear age.;Adlai E. Stevenson;age
We live in an age where the artist is forgotten. He is a researcher. I see myself that way.;David Hockney;age
I lived the true American dream, because I was able to pursue what I set as my goals at a very young age.;Mario Andretti;age
I wish I'd gotten sober at a younger age.;Janice Dickinson;age
Save your money. You're going to need twice as much money in your old age as you think.;Michael Caine;age
Middle age is when your old classmates are so grey and wrinkled and bald they don't recognize you.;Bennett Cerf;age
You can judge your age by the amount of pain you feel when you come in contact with a new idea.;Pearl S. Buck;age
Middle age is when you've met so many people that every new person you meet reminds you of someone else.;Ogden Nash;age
There are people whose watch stops at a certain hour and who remain permanently at that age.;Helen Rowland;age
They that have lived a single day have lived an age.;Jean de la Bruyere;age
At a certain age it just became apparent to me that this was probably the work that I would have to do.;Daniel Day-Lewis;age
Every age needs men who will redeem the time by living with a vision of the things that are to be.;Adlai E. Stevenson;age
In my old age, I'll be in L.A.;David Hockney;age
I shall not grow conservative with age.;Elizabeth Cady Stanton;age
Why should 20-year-olds only be considered sexy? I think we get better with age.;Jenny McCarthy;age
When you get to my age life seems little more than one long march to and from the lavatory.;A. C. Benson;age
Where children are, there is the golden age.;Novalis;age
Sure I played, did you think I was born at the age of 70 sitting in a dugout trying to manage guys like you?;Casey Stengel;age
I came to water late. I learned to swim at the age of 20.;Liam Neeson;age
I was getting hot flashes and sweats on a regular basis. That's not normal, even for my age.;Kareem Abdul-Jabbar;age
In this age of media and Internet access, we are much more talkative than ever before.;David Duchovny;age
Every time I see something terrible, it's like I see it at age 19. I keep a freshness that way.;Ralph Nader;age
I hate to mention age, but I come from an era when we weren't consumed by technology and television.;Jimmy Buffett;age
Morality comes with the sad wisdom of age, when the sense of curiosity has withered.;Graham Greene;age
Does age matter? Time doesn't matter.;Sandra Bullock;age
We were really grown up for our age and it was an incredible special band.;Joan Jett;age
Age is the first limitation on roles that I've ever had to encounter, and I hit that awhile ago.;Jack Nicholson;age
I can't hit on women in public any more. I didn't decide this it just doesn't feel right at my age.;Jack Nicholson;age
The secret of long life is double careers. One to about age sixty, then another for the next thirty years.;David Ogilvy;age
I've gotten crankier in my old age.;Shirley MacLaine;age
Death comes not to the living soul, nor age to the loving heart.;Phoebe Cary;age
I'm not busy... a woman with three children under the age of 10 wouldn't think my schedule looked so busy.;Garrison Keillor;age
Not by age but by capacity is wisdom acquired.;Plautus;age
Whoever marries the spirit of this age will find himself a widower in the next.;William Ralph Inge;age
We live in an age where anonymity is growing in magnitude like a bomb going off.;Jock Sturges;age
The Word of fire burns today On the lips of our prophets in an evil age.;Margaret Walker;age
We tried not to age, but time had its rage.;Pete Townshend;age
I want to age with some dignity.;Pete Townshend;age
Young man, the secret of my success is that an early age I discovered that I was not God.;Oliver Wendell Holmes, Jr.;age
There are only two things a child will share willingly communicable diseases and its mother's age.;Benjamin Spock;age
Although it is generally known, I think it's about time to announce that I was born at a very early age.;Douglas Horton;age
People dance at any age.;Mikhail Baryshnikov;age
I've never worried about age.;Jeanne Moreau;age
To me age is a number, just a number. Who cares?;Jeanne Moreau;age
If you're extremely, painfully frightened of age, it shows.;Jeanne Moreau;age
Let age, not envy, draw wrinkles on thy cheeks.;Thomas Browne;age
Everyone talks about age, but it's not about age. It's about work ethic. Winning never gets old.;Lisa Leslie;age
I came of age believing that, no matter what happened, I would always be able to support myself.;William J. Clinton;age
At my age you don't go into fatherhood lightly.;Rod Stewart;age
My best friend just had a baby, and she's my age. So I'm a godmom now, which is crazy.;Kristen Stewart;age
I always wanted to be a designer. I read books on fashion from the age of 12.;Alexander McQueen;age
Look, demanding somebody do anything in this day and age is not going to fly.;John Mayer;age
I was very successful from a very early age, and I want to keep it.;John Mayer;age
When you get to a certain age, there is no coming back.;Brian Clough;age
Most of the basic material a writer works with is acquired before the age of fifteen.;Willa Cather;age
Even truth needs to be clad in new garments if it is to appeal to a new age.;Georg C. Lichtenberg;age
America doesn't reward people of my age, either in day-to-day life or for their performances.;Meryl Streep;age
I think I'm past the age of getting lost.;Amanda Seyfried;age
I conceived in art college at the age of 20, near the end of term.;Joni Mitchell;age
I've been screaming at the top of my lungs at my family, 'Work out! Work out! Old age is coming!';Cher;age
People tend to become more emotionally intelligent as they age and mature.;Daniel Goleman;age
With age, you get to a place where you don't want to knock people out. You just want to give people a hug.;Vin Diesel;age
Age is no barrier. It's a limitation you put on your mind.;Jackie Joyner-Kersee;age
Whoever, fleeing marriage and the sorrows that women cause, does not wish to wed comes to a deadly old age.;Hesiod;age
Age has been the perfect fire extinguisher for flaming youth.;Navjot Singh Sidhu;age
At my age, no one is married, no one has kids, no one has a career.;Lena Dunham;age
One of the many pleasures of old age is giving things up.;Malcolm Muggeridge;age
We virtually never feel our age, but thinking that we should can lead to disaster.;Martha Beck;age
There's a vintage which comes with age and experience.;Jon Bon Jovi;age
It lies in human nature that where you experience your first laughs, you also remember the age kindly.;Vaclav Havel;age
We tried not to age, but time had its rage.;Patti Smith;age
Old age and treachery will always beat youth and exuberance.;David Mamet;age
Even one voice can be heard loudly all over the world in this day and age.;Aung San Suu Kyi;age
At this age, I should be leading a quiet life.;Aung San Suu Kyi;age
Any new financial order for the world must tackle the three chief challenges of our age.;James Buchan;age
Reason is a crutch for age, but youth is strong enough to walk alone.;John Dryden;age
What's a man's age? He must hurry more, that's all Cram in a day, what his youth took a year to hold.;Robert Browning;age
What Youth deemed crystal, Age finds out was dew.;Robert Browning;age
A face to lose youth for, to occupy age With the dream of, meet death with.;Robert Browning;age
I believe the true function of age is memory. I'm recording as fast as I can.;Rita Mae Brown;age
There probably aren't a lot of actors my age who tap dance.;Christopher Walken;age
I am a grandmother now, and that means age is creeping on, creeping on.;Lillie Langtry;age
American Idol transcends age, gender, ethnicity, everything.;Carrie Underwood;age
You get to a certain age and you can't judge yourself on your dad or your parents.;Ellie Goulding;age
Music has always been my protection against the world, from a very young age. I feel safe inside of a jam.;Trey Anastasio;age
I was born at the age of twelve on a Metro-Goldwyn-Mayer lot.;Edward Koch;age
We live in an age of instant knowledge. And there's almost a sense of entitlement to that.;J. J. Abrams;age
I never took guitar lessons. I took classical piano lessons from the age of six when we lived in Holland.;Eddie Van Halen;age
Compared to a lot of actresses my age, I'm actually overweight.;Lindsay Lohan;age
I would love a family. I'm at the age where the wish for a child gets stronger. But who knows.;Cameron Diaz;age
Age for me is just a number.;Haile Gebrselassie;age
Some of your teachers are actually closer in age to you than you think.;Maya Lin;age
I didn't have any success in show business until I was 30 to 31 years of age.;Adam Carolla;age
I hate the idea that you shouldn't wear something just because you're a certain age.;Miuccia Prada;age
To me, old age is always fifteen years older than I am.;Bernard Baruch;age
Maybe it is something to do with age, but I have become fonder of poetry than of prose.;Aung San Suu Kyi;age
I grew up on the golden age of children's TV.;Edward Norton;age
I do wish I could tell you my age but it's impossible. It keeps changing all the time.;Greer Garson;age
Pretend to be dumb, that's the only way to reach old age.;Friedrich Durrenmatt;age
The excitement of learning separates youth from old age. As long as you're learning you're not old.;Rosalyn S. Yalow;age
We are in an electronic technology age now and it's about time we put away the old stuff.;Monica Edwards;age
At the age of 20 I bought a used Fiat 127. This was the only one I could afford!;Carlos Ghosn;age
At my age, I don't think anyone is untouched by cancer.;Bryan Cranston;age
We try, we fail, we posture, we aspire, we pontificate - and then we age, shrink, die, and vanish.;George Saunders;age
It is not possible to live in this age if you don't have a sense of many contradictory forces.;Rem Koolhaas;age
It's hard for women at my age in Hollywood, but I'm not discouraged.;Jane Fonda;age
The age thing really bugs me. Do people have more of a right to not like what I say because I'm 19?;Fiona Apple;age
In Hollywood, you play a mom, and the next thing you know, you're on 'The Golden Girls.' They age you so fast.;Gabrielle Union;age
A great age of literature is perhaps always a great age of translations.;Ezra Pound;age
I am at that age when you panic at the slightest thing.;Rupert Everett;age
I don't want to look at other people my age in leather. Why would I put it on?;George Michael;age
Middle age: when you begin to exchange your emotions for symptoms.;Irvin S. Cobb;age
I began to understand my sensations, to know what I wanted, at around the age of forty - but only vaguely.;Camille Pissarro;age
By the age of 9 or 10, I knew that I had to cut my own cloth and make my own way.;John le Carre;age
In the digital age of 'overnight' success stories such as Facebook, the hard slog is easily overlooked.;James Dyson;age
The greatest writers of this age... are aware of the mystery of our existence.;J. B. Priestley;age
At my age it is unseemly to be pessimistic.;Naguib Mahfouz;age
I don't look my age, I don't feel my age and I don't act my age. To me age is just a number.;Joan Collins;age
Most poetry in the modern age has retreated to the private sphere, turning its back on the political realm.;Terry Eagleton;age
Filth and old age, I'm sure you will agree, are powerful wardens upon chastity.;Geoffrey Chaucer;age
It has been claimed at times that our modern age of technology facilitates dictatorship.;Henry A. Wallace;age
Working on the 'Ice Age' movies, I'm really proud to be in them.;Seann William Scott;age
Study is the bane of childhood, the oil of youth, the indulgence of adulthood, and a restorative in old age.;Walter Savage Landor;age
Old age is an insult. It's like being smacked.;Lawrence Durrell;age
There's a small club of women who are willing to age.;Debra Winger;age
I hope to find the roles that are age appropriate but not yearning to be younger, or parenting ad nauseam.;Debra Winger;age
Being successful at a very young age gave me the confidence and the capability to try out other things.;Joshua Lederberg;age
I feel more mature than most people my age.;Leighton Meester;age
Age does not bring you wisdom, age brings you wrinkles.;Estelle Getty;age
Maybe I'll be a feminist in my old age.;Bjork;age
You can fake your age or mask it, but the passion that moves the characters has to be real.;Victoria Abril;age
I'd date someone younger or older age doesn't matter to me. Or looks, really - it's all about maturity.;Leona Lewis;age
Try to keep your soul young and quivering right up to old age.;George Sand;age
Parenting is an impossible job at any age.;Harrison Ford;age
From age 16, I lived and breathed wine. I read every magazine and book about wine.;Gary Vaynerchuk;age
Genius worship is the inevitable sign of an uncreative age.;Clive Bell;age
I appreciate and enjoy my age.;Nikki Giovanni;age
I want to sell to people my own age, because that's the way I write songs.;John Mellencamp;age
You get to a certain age and you just want to prove that you can still rock - that you've still got it.;Jarvis Cocker;age
It's only at this age that I can say the word 'art' without flinching.;Mira Nair;age
I think it's hard, the fact that there's a certain age that we can't have kids anymore.;Courteney Cox;age
Age acquires no value save through thought and discipline.;James Truslow Adams;age
Old age isn't so bad when you consider the alternative.;Maurice Chevalier;age
